Marca,Modelo,Año,TipoCombustible,Transmisión
Mercedes-Benz,Deportivo,2012,Híbrido,Manual
Honda,Sedan,2010,Diesel,Manual
Kia,Van,2016,Nafta,Manual
BMW,Crossover,2010,Híbrido,Manual
Kia,Convertible,2017,Diesel,Manual
Volkswagen,Convertible,2019,Híbrido,Manual
Volkswagen,Crossover,2013,Nafta,Manual
Nissan,Hatchback,2015,Híbrido,Manual
Nissan,Hatchback,2010,Diesel,Manual
Ford,Crossover,2024,Diesel,Manual
Ford,Van,2015,Nafta,Manual
Kia,Pickup,2010,Diesel,Manual
Kia,SUV,2017,Híbrido,Manual
Audi,Crossover,2019,Híbrido,Manual
Chevrolet,SUV,2010,Diesel,Manual
Audi,Sedan,2016,Híbrido,Manual
Toyota,SUV,2024,Nafta,Manual
Volkswagen,Sedan,2013,Híbrido,Manual
Mazda,Van,2010,Eléctrico,Manual
Volkswagen,Van,2012,Nafta,Manual
Honda,Convertible,2019,Diesel,Manual
Subaru,SUV,2012,Nafta,Manual
Honda,Coupe,2014,Diesel,Manual
Volkswagen,Pickup,2023,Nafta,Manual
Nissan,Convertible,2010,Híbrido,Manual
Renault,Crossover,2013,Eléctrico,Manual
Mazda,Sedan,2022,Nafta,Manual
Subaru,Hatchback,2023,Diesel,Manual
Subaru,Coupe,2015,Híbrido,Manual
Honda,Pickup,2016,Híbrido,Manual
Chevrolet,Sedan,2023,Nafta,Manual
Volkswagen,Sedan,2023,Eléctrico,Manual
Volkswagen,SUV,2024,Eléctrico,Manual
Renault,Van,2015,Diesel,Manual
BMW,Sedan,2022,Eléctrico,Manual
Kia,Coupe,2023,Híbrido,Manual
Hyundai,Deportivo,2020,Nafta,Manual
Nissan,Deportivo,2018,Híbrido,Manual
Hyundai,Pickup,2023,Eléctrico,Manual
Subaru,Van,2022,Híbrido,Manual
Kia,Hatchback,2019,Híbrido,Manual
Toyota,Convertible,2020,Nafta,Manual
BMW,Coupe,2016,Diesel,Manual
Mercedes-Benz,Convertible,2018,Híbrido,Manual
Honda,Convertible,2020,Híbrido,Manual
Renault,Convertible,2023,Híbrido,Manual
Toyota,SUV,2018,Híbrido,Manual
Mazda,Sedan,2014,Híbrido,Manual
Mazda,SUV,2012,Híbrido,Manual
Renault,Van,2010,Nafta,Manual
BMW,Sedan,2012,Eléctrico,Manual
Mazda,SUV,2018,Híbrido,Manual
Audi,Hatchback,2016,Eléctrico,Manual
Chevrolet,Crossover,2012,Eléctrico,Manual
Peugeot,Deportivo,2020,Híbrido,Manual
Peugeot,Van,2015,Híbrido,Manual
Toyota,Hatchback,2021,Diesel,Manual
BMW,Hatchback,2012,Diesel,Manual
Mercedes-Benz,Van,2023,Diesel,Manual
Kia,Convertible,2022,Eléctrico,Manual
Audi,Crossover,2023,Diesel,Manual
Kia,Coupe,2013,Diesel,Manual
Mazda,Pickup,2022,Híbrido,Manual
Peugeot,Deportivo,2010,Nafta,Manual
Renault,Deportivo,2022,Eléctrico,Manual
Subaru,Pickup,2019,Nafta,Manual
Mazda,Coupe,2010,Híbrido,Manual
Ford,Hatchback,2015,Nafta,Manual
Renault,Van,2012,Eléctrico,Manual
BMW,Pickup,2023,Nafta,Manual
Renault,Sedan,2018,Eléctrico,Manual
Volkswagen,Hatchback,2011,Diesel,Manual
Nissan,Coupe,2016,Nafta,Manual
Nissan,Convertible,2011,Eléctrico,Manual
Audi,Crossover,2017,Nafta,Manual
BMW,Van,2012,Nafta,Manual
Mazda,Pickup,2020,Nafta,Manual
