Marca,Modelo,Año,TipoCombustible,Transmisión
Mercedes-Benz,Deportivo,2012,Híbrido,Manual
Chevrolet,SUV,2015,Nafta,Automática
Honda,Sedan,2010,Diesel,Manual
Kia,Van,2016,Nafta,Manual
BMW,Crossover,2010,Híbrido,Manual
Kia,Convertible,2017,Diesel,Manual
Volkswagen,Convertible,2019,Híbrido,Manual
Hyundai,Crossover,2023,Diesel,Automática
Volkswagen,Crossover,2013,Nafta,Manual
Hyundai,SUV,2022,Eléctrico,Automática
Nissan,Hatchback,2015,Híbrido,Manual
Mercedes-Benz,SUV,2017,Nafta,Automática
Nissan,Hatchback,2010,Diesel,Manual
Ford,Crossover,2024,Diesel,Manual
Ford,Van,2015,Nafta,Manual
Kia,Pickup,2010,Diesel,Manual
Kia,SUV,2017,Híbrido,Manual
Hyundai,Coupe,2020,Nafta,Automática
Mazda,Crossover,2015,Eléctrico,Automática
Ford,Sedan,2018,Híbrido,Automática
Audi,Crossover,2019,Híbrido,Manual
Ford,Van,2022,Diesel,Automática
Chevrolet,SUV,2010,Diesel,Manual
Nissan,Pickup,2019,Nafta,Automática
Audi,Sedan,2016,Híbrido,Manual
Toyota,SUV,2024,Nafta,Manual
Volkswagen,Sedan,2013,Híbrido,Manual
Nissan,Sedan,2014,Nafta,Automática
Honda,Coupe,2013,Diesel,Automática
Honda,Van,2013,Eléctrico,Automática
Mazda,Hatchback,2014,Nafta,Automática
Mazda,Van,2010,Eléctrico,Manual
Toyota,Hatchback,2020,Nafta,Automática
Volkswagen,Van,2012,Nafta,Manual
Honda,Convertible,2019,Diesel,Manual
Audi,Hatchback,2016,Híbrido,Automática
Ford,Coupe,2015,Eléctrico,Automática
Subaru,SUV,2012,Nafta,Manual
Honda,Coupe,2014,Diesel,Manual
Volkswagen,Pickup,2023,Nafta,Manual
Nissan,Convertible,2010,Híbrido,Manual
Renault,Crossover,2013,Eléctrico,Manual
Subaru,Van,2016,Eléctrico,Automática
Mazda,Sedan,2022,Nafta,Manual
Subaru,Sedan,2023,Diesel,Automática
Mazda,Hatchback,2021,Eléctrico,Automática
Audi,Convertible,2014,Nafta,Automática
Subaru,Hatchback,2023,Diesel,Manual
Subaru,Coupe,2015,Híbrido,Manual
Hyundai,Crossover,2010,Nafta,Automática
