Marca,Modelo,Año,TipoCombustible,Transmisión
Chevrolet,SUV,2015,Nafta,Automática
Hyundai,Crossover,2023,Diesel,Automática
Hyundai,SUV,2022,Eléctrico,Automática
Mercedes-Benz,SUV,2017,Nafta,Automática
Hyundai,Coupe,2020,Nafta,Automática
Mazda,Crossover,2015,Eléctrico,Automática
Ford,Sedan,2018,Híbrido,Automática
Ford,Van,2022,Diesel,Automática
Nissan,Pickup,2019,Nafta,Automática
Nissan,Sedan,2014,Nafta,Automática
Honda,Coupe,2013,Diesel,Automática
Honda,Van,2013,Eléctrico,Automática
Mazda,Hatchback,2014,Nafta,Automática
Toyota,Hatchback,2020,Nafta,Automática
Audi,Hatchback,2016,Híbrido,Automática
Ford,Coupe,2015,Eléctrico,Automática
Subaru,Van,2016,Eléctrico,Automática
Subaru,Sedan,2023,Diesel,Automática
Mazda,Hatchback,2021,Eléctrico,Automática
Audi,Convertible,2014,Nafta,Automática
Hyundai,Crossover,2010,Nafta,Automática
Hyundai,Pickup,2012,Nafta,Automática
Subaru,Hatchback,2013,Híbrido,Automática
Nissan,SUV,2023,Eléctrico,Automática
Hyundai,Convertible,2011,Eléctrico,Automática
Toyota,Hatchback,2022,Diesel,Automática
Chevrolet,Crossover,2010,Híbrido,Automática
Audi,Sedan,2012,Nafta,Automática
Honda,SUV,2011,Híbrido,Automática
Toyota,Pickup,2012,Nafta,Automática
Chevrolet,Hatchback,2012,Híbrido,Automática
Subaru,Coupe,2024,Híbrido,Automática
Mercedes-Benz,Hatchback,2018,Eléctrico,Automática
Chevrolet,Hatchback,2018,Eléctrico,Automática
Chevrolet,Deportivo,2024,Nafta,Automática
Honda,Sedan,2018,Nafta,Automática
Peugeot,Van,2012,Eléctrico,Automática
Honda,Hatchback,2012,Nafta,Automática
Chevrolet,Deportivo,2020,Diesel,Automática
Volkswagen,Pickup,2022,Diesel,Automática
Mazda,Coupe,2018,Eléctrico,Automática
Ford,SUV,2012,Híbrido,Automática
Hyundai,Van,2024,Diesel,Automática
Volkswagen,Coupe,2015,Eléctrico,Automática
BMW,Crossover,2016,Eléctrico,Automática
Peugeot,Pickup,2016,Eléctrico,Automática
Chevrolet,Sedan,2015,Nafta,Automática
Renault,Hatchback,2017,Eléctrico,Automática
Honda,Coupe,2012,Nafta,Automática
Audi,Sedan,2023,Eléctrico,Automática
Subaru,Convertible,2013,Híbrido,Automática
Renault,Coupe,2012,Híbrido,Automática
Mazda,Pickup,2018,Híbrido,Automática
Kia,SUV,2019,Diesel,Automática
Kia,SUV,2022,Eléctrico,Automática
Chevrolet,Sedan,2019,Híbrido,Automática
Nissan,Crossover,2023,Eléctrico,Automática
Chevrolet,Crossover,2017,Eléctrico,Automática
Chevrolet,Hatchback,2018,Híbrido,Automática
Hyundai,Van,2015,Híbrido,Automática
Ford,SUV,2022,Eléctrico,Automática
Peugeot,Crossover,2023,Diesel,Automática
Peugeot,Van,2022,Diesel,Automática
Volkswagen,Crossover,2022,Eléctrico,Automática
Ford,Van,2017,Nafta,Automática
Kia,Coupe,2023,Nafta,Automática
Volkswagen,Coupe,2020,Nafta,Automática
Ford,Hatchback,2018,Nafta,Automática
Renault,Convertible,2016,Híbrido,Automática
Volkswagen,Van,2011,Eléctrico,Automática
Kia,Convertible,2014,Diesel,Automática
Chevrolet,Van,2019,Nafta,Automática
Hyundai,Van,2010,Nafta,Automática
